snowpit_id,weight_above_target_layer,bending_stiffness_above_target_layer,dataset
40862,203.31,6757832974541.282,All Layer of Concern
40053,6.07,91454367.03868671,All Layer of Concern
36929,98.10000000000001,450528068833.8506,All Layer of Concern
36742,133.64,1248791525639.2153,All Layer of Concern
38872,174.33999999999997,4381823561415.4683,All Layer of Concern
40115,63.81,265521294167.72275,All Layer of Concern
36574,88.9,586225158720.6836,All Layer of Concern
41439,90.89999999999999,323633886787.43536,All Layer of Concern
37869,44.96,34371240887.4501,All Layer of Concern
37091,141.32999999999998,2210430457714.352,All Layer of Concern
39932,180.94,3231089159653.876,All Layer of Concern
35607,22.490000000000002,8374618290.007221,All Layer of Concern
35476,56.150000000000006,157840539144.8218,All Layer of Concern
35706,63.97,254309606110.04727,All Layer of Concern
41681,126.75,2943995126126.3677,All Layer of Concern
43960,8.35,407938407.9506736,All Layer of Concern
40963,13.700000000000001,1010836001.1956667,All Layer of Concern
36828,26.78,6758359225.061911,All Layer of Concern
36369,66.07,202585460264.72864,All Layer of Concern
41318,20.330000000000002,2844539692.10371,All Layer of Concern
41890,77.93,370720213408.4354,All Layer of Concern
40772,0.81,135227.8657118792,All Layer of Concern
38892,75.97,747687648683.3643,All Layer of Concern
36077,74.06,127023653374.49226,All Layer of Concern
36307,129.28,1753202812196.6987,All Layer of Concern
34905,70.79,206680421786.98822,All Layer of Concern
37137,6.06,77125839.8747938,All Layer of Concern
35418,74.15,150774472679.59195,All Layer of Concern
41283,56.53,112155943063.53831,All Layer of Concern
35304,66.38,111023068873.51675,All Layer of Concern
35597,145.45,1012383875048.9436,All Layer of Concern
44003,45.800000000000004,68124983629.62311,All Layer of Concern
37071,237.98000000000002,10892034166708.326,All Layer of Concern
39546,28.77,12646212939.72674,All Layer of Concern
38360,5.5200000000000005,34193068.06732467,All Layer of Concern
36527,76.06,285250602221.60077,All Layer of Concern
41189,67.48,366747005761.8319,All Layer of Concern
43974,4.109999999999999,36869425.480252884,All Layer of Concern
43145,23.49,3298072416.8470197,All Layer of Concern
35148,79.47999999999999,417753388403.451,All Layer of Concern
42118,69.98,299050378190.8512,All Layer of Concern
36783,60.53,86933607975.87268,All Layer of Concern
42097,125.5,1039712382546.1096,All Layer of Concern
39421,143.68,1469162971269.1006,All Layer of Concern
54859,18.75,2475920351.0281916,All Layer of Concern
37266,31.5,8912595514.866625,All Layer of Concern
40810,31.67,52809925596.31355,All Layer of Concern
34997,56.83,169214820651.09592,All Layer of Concern
38177,97.52000000000001,487600133864.6587,All Layer of Concern
40217,8.1,135227865.7118792,All Layer of Concern
42953,35.349999999999994,15309122151.073072,All Layer of Concern
37736,249.39999999999998,9952274768097.87,All Layer of Concern
37500,117.17,1011829725528.513,All Layer of Concern
44058,72.07000000000001,322790775628.84705,All Layer of Concern
35505,72.4,146563936410.75653,All Layer of Concern
35675,51.97,86012890523.55962,All Layer of Concern
39347,2.02,7538381.914058814,All Layer of Concern
39989,4.45,25583393.620317057,All Layer of Concern
35457,37.14,35481513899.80922,All Layer of Concern
43941,56.51,140254863937.06503,All Layer of Concern
39215,164.51,4170283048471.686,All Layer of Concern
36512,34.6,30494741156.148285,All Layer of Concern
36662,104.26,705283067085.0344,All Layer of Concern
36454,64.55000000000001,104970351677.08998,All Layer of Concern
35088,78.66,274506460491.18884,All Layer of Concern
39573,4.14,14425200.590902591,All Layer of Concern
41613,57.05,205541974703.10742,All Layer of Concern
38605,136.41000000000003,2317961745390.3506,All Layer of Concern
52370,44.980000000000004,66996946320.05777,All Layer of Concern
38119,30.990000000000002,14187314100.355782,All Layer of Concern
38928,3.16,20460360.43967409,All Layer of Concern
36274,24.3,3651152374.2207365,All Layer of Concern
34876,53.150000000000006,209016804288.95633,All Layer of Concern
36687,156.09,2856813730303.768,All Layer of Concern
36152,176.97,3708396962327.495,All Layer of Concern
36963,70.35,154347110853.80112,All Layer of Concern
34820,40.6,46612138567.05531,All Layer of Concern
43476,97.80000000000001,527001549052.6113,All Layer of Concern
36772,48.839999999999996,44003338650.71805,All Layer of Concern
40914,46.8,65289614977.578384,All Layer of Concern
42299,143.3,2115624453757.9412,All Layer of Concern
40852,120.78999999999999,1576623783040.7017,All Layer of Concern
35547,24.3,3651152374.2207365,All Layer of Concern
37760,197.85199999999998,3902842601592.906,All Layer of Concern
37283,242.48999999999998,11295563018342.7,All Layer of Concern
41906,8.19,765969579.1015561,All Layer of Concern
43132,36.45,12322639262.994991,All Layer of Concern
37884,30.299999999999997,9640729984.349224,All Layer of Concern
35079,57.760000000000005,88409637733.25407,All Layer of Concern
43242,201.4,4967383756267.792,All Layer of Concern
34908,8.9,204667148.96253645,All Layer of Concern
36599,43.29,34542604051.80951,All Layer of Concern
34887,77.58000000000001,293755907375.4161,All Layer of Concern
35659,49.239999999999995,58805750533.709496,All Layer of Concern
43712,14.8,5062040928.411056,All Layer of Concern
39477,146.3,1988435257336.8594,All Layer of Concern
37006,158.76999999999998,2034083858242.61,All Layer of Concern
43148,24.3,3651152374.2207365,All Layer of Concern
